fast,slow,sharpe,ann_return,max_dd,calmar,n_trades
5,120,1.359,66.02,-38.32,1.723,13
5,150,1.337,65.26,-42.22,1.546,12
5,110,1.336,65.03,-35.73,1.82,13
5,100,1.312,64.2,-40.91,1.569,17
5,130,1.303,63.38,-40.91,1.549,12
5,140,1.249,61.36,-42.1,1.457,13
5,160,1.099,54.3,-50.39,1.078,11
5,180,1.083,53.95,-47.5,1.136,11
25,100,1.043,55.01,-55.33,0.994,11
10,40,1.032,51.41,-52.95,0.971,32
30,100,1.014,53.34,-53.55,0.996,11
25,40,1.01,51.03,-50.17,1.017,30
30,50,1.009,50.76,-53.28,0.953,28
5,40,1.004,50.3,-63.37,0.794,41
5,170,0.98,48.98,-54.83,0.893,12
5,90,0.973,48.79,-50.46,0.967,28
5,70,0.965,48.06,-51.54,0.932,29
10,90,0.964,48.32,-52.29,0.924,16
20,60,0.948,46.78,-52.86,0.885,23
25,130,0.946,51.27,-65.94,0.778,7
5,50,0.944,47.17,-54.61,0.864,35
10,70,0.942,46.97,-52.73,0.891,23
10,190,0.932,47.54,-54.38,0.874,10
25,140,0.926,50.15,-66.21,0.757,7
25,60,0.925,46.18,-61.1,0.756,24
5,60,0.923,45.9,-58.16,0.789,32
35,130,0.917,49.88,-66.18,0.754,7
30,110,0.917,49.01,-53.49,0.916,9
15,190,0.914,46.78,-59.54,0.786,9
10,120,0.903,48.24,-59.63,0.809,12
10,200,0.902,46.36,-53.54,0.866,11
25,110,0.901,48.38,-58.79,0.823,9
5,190,0.901,45.6,-63.31,0.72,13
30,120,0.899,48.32,-56.81,0.851,8
45,140,0.896,49.22,-66.86,0.736,6
10,80,0.893,45.05,-52.52,0.858,22
10,60,0.889,43.87,-49.74,0.882,28
10,50,0.889,44.54,-53.16,0.838,30
15,40,0.888,44.63,-50.07,0.891,30
35,100,0.888,47.86,-59.46,0.805,12
30,130,0.882,47.91,-65.22,0.735,7
50,140,0.879,48.44,-67.28,0.72,6
15,60,0.877,43.12,-51.29,0.841,23
40,130,0.867,47.82,-66.32,0.721,7
20,70,0.866,43.32,-57.69,0.751,20
40,120,0.865,47.48,-65.92,0.72,8
5,80,0.863,43.59,-53.34,0.817,28
30,40,0.855,43.67,-47.67,0.916,37
10,110,0.855,46.06,-57.5,0.801,12
35,110,0.841,45.72,-58.98,0.775,9
20,90,0.839,44.88,-57.76,0.777,15
35,90,0.838,44.89,-56.64,0.792,14
40,140,0.834,46.02,-65.92,0.698,7
35,140,0.834,45.89,-67.05,0.684,7
5,200,0.827,42.44,-58.8,0.722,14
30,180,0.826,45.41,-66.94,0.678,6
35,120,0.826,45.22,-64.82,0.698,8
5,30,0.824,41.88,-65.53,0.639,57
35,170,0.824,45.47,-66.3,0.686,6
25,120,0.822,44.65,-62.42,0.715,8
30,60,0.821,44.35,-61.87,0.717,24
10,100,0.819,44.38,-60.18,0.737,15
10,150,0.817,44.38,-64.88,0.684,10
15,110,0.816,44.25,-57.15,0.774,11
15,200,0.815,42.24,-65.7,0.643,9
15,100,0.815,43.86,-59.19,0.741,13
35,180,0.814,45.19,-67.56,0.669,6
10,160,0.811,44.22,-65.06,0.68,9
20,150,0.81,44.35,-65.05,0.682,8
30,90,0.807,43.18,-56.99,0.758,13
35,40,0.806,41.11,-56.94,0.722,49
35,150,0.803,44.07,-66.06,0.667,6
15,80,0.8,40.86,-56.28,0.726,19
40,160,0.798,44.03,-67.92,0.648,6
30,140,0.797,43.68,-67.45,0.648,7
30,160,0.794,43.46,-66.86,0.65,6
40,70,0.792,43.13,-53.17,0.811,16
35,160,0.789,43.56,-65.7,0.663,6
25,30,0.788,40.74,-59.85,0.681,61
40,100,0.787,43.01,-60.38,0.712,11
50,160,0.787,43.57,-67.88,0.642,6
20,100,0.786,42.66,-58.93,0.724,12
30,80,0.786,42.45,-54.82,0.774,14
45,160,0.785,43.58,-67.55,0.645,6
5,20,0.785,39.86,-62.18,0.641,73
25,150,0.784,42.84,-67.58,0.634,6
15,150,0.781,42.77,-64.99,0.658,9
35,80,0.781,42.18,-62.0,0.68,14
45,100,0.779,42.99,-58.04,0.741,11
15,30,0.778,40.1,-61.01,0.657,45
50,200,0.778,44.37,-63.35,0.7,6
25,90,0.778,41.61,-58.05,0.717,13
45,180,0.774,43.32,-70.51,0.614,6
10,130,0.77,42.17,-63.89,0.66,11
20,140,0.77,42.53,-66.26,0.642,9
10,30,0.764,39.53,-63.25,0.625,47
45,150,0.764,42.33,-68.22,0.62,6
45,190,0.764,43.08,-69.47,0.62,6
20,110,0.763,41.83,-59.7,0.701,12
50,170,0.76,42.5,-69.32,0.613,6
20,160,0.76,42.03,-66.75,0.63,7
40,170,0.757,42.18,-67.73,0.623,6
45,130,0.757,42.48,-66.3,0.641,7
40,110,0.756,41.81,-66.19,0.632,8
45,120,0.755,42.3,-66.82,0.633,7
40,150,0.755,41.71,-67.4,0.619,6
30,170,0.753,41.56,-66.19,0.628,6
25,160,0.751,41.35,-68.76,0.601,6
35,70,0.749,40.91,-61.88,0.661,18
50,130,0.746,42.03,-67.05,0.627,7
20,180,0.746,41.7,-67.38,0.619,8
25,170,0.746,41.2,-69.07,0.597,6
40,200,0.742,42.12,-69.18,0.609,6
40,50,0.742,40.65,-53.88,0.754,32
25,80,0.739,40.19,-60.58,0.663,15
30,150,0.739,40.64,-66.26,0.613,6
15,160,0.739,40.79,-63.41,0.643,8
40,60,0.738,40.52,-60.91,0.665,27
25,190,0.736,41.33,-68.81,0.601,7
45,110,0.735,41.16,-62.98,0.653,9
10,140,0.735,40.4,-64.83,0.623,11
50,180,0.732,41.29,-70.42,0.586,6
15,70,0.726,36.93,-53.74,0.687,21
45,170,0.721,40.53,-68.87,0.589,6
30,190,0.72,40.57,-67.56,0.601,6
25,50,0.72,37.48,-56.67,0.661,27
20,170,0.719,40.17,-66.38,0.605,7
20,120,0.716,39.66,-65.61,0.604,10
50,120,0.715,40.37,-67.24,0.6,7
15,170,0.712,39.58,-65.43,0.605,8
35,50,0.711,38.64,-61.14,0.632,29
40,180,0.706,39.89,-68.21,0.585,6
50,150,0.701,39.25,-69.85,0.562,6
20,130,0.699,38.97,-67.7,0.576,10
25,180,0.699,39.27,-67.94,0.578,7
15,120,0.698,38.79,-63.13,0.614,10
45,200,0.691,39.6,-71.11,0.557,6
50,110,0.685,38.74,-66.29,0.584,10
15,180,0.68,38.02,-67.98,0.559,8
10,170,0.678,37.65,-67.76,0.556,10
15,140,0.677,37.92,-65.44,0.579,11
45,50,0.675,37.42,-53.43,0.7,42
50,190,0.672,38.5,-71.11,0.541,6
15,90,0.663,36.76,-59.75,0.615,15
20,30,0.649,34.06,-55.84,0.61,48
35,60,0.644,35.65,-60.53,0.589,27
30,200,0.644,36.81,-68.85,0.535,6
50,90,0.642,36.68,-70.02,0.524,13
10,180,0.641,35.99,-68.12,0.528,10
40,80,0.64,35.94,-55.48,0.648,14
20,200,0.638,36.15,-69.47,0.52,7
15,130,0.636,35.65,-64.43,0.553,10
40,190,0.628,36.0,-70.51,0.51,6
15,20,0.624,32.8,-78.7,0.417,77
20,50,0.62,32.6,-57.88,0.563,26
40,90,0.62,34.95,-58.47,0.598,14
25,70,0.619,34.23,-65.96,0.519,19
25,200,0.619,35.5,-68.99,0.514,7
50,60,0.611,35.22,-67.37,0.523,28
20,190,0.605,34.47,-67.4,0.511,8
45,90,0.604,34.5,-64.6,0.534,14
45,70,0.589,33.39,-60.09,0.556,20
20,40,0.587,31.18,-57.2,0.545,30
50,100,0.584,33.5,-65.9,0.508,13
45,60,0.583,33.25,-64.15,0.518,26
10,20,0.567,30.5,-74.53,0.409,66
35,200,0.564,32.81,-70.67,0.464,6
35,190,0.552,31.94,-69.64,0.459,6
20,80,0.546,30.67,-62.01,0.495,18
15,50,0.541,28.86,-62.34,0.463,26
45,80,0.534,30.76,-64.49,0.477,15
30,70,0.53,30.02,-63.12,0.476,19
50,70,0.517,30.2,-64.75,0.466,20
50,80,0.492,28.68,-65.38,0.439,17
